bron,behandeling_of_product,flow,stage,template_id,email_template_bestand,timing_dagen,trigger,automated,tags_of_resultaat
Salonized (iCal),wenkbrauwen,Behandelingsreeks,aftercare,aftercare-wenkbrauwen,aftercare-wenkbrauwen.html,0,Cron sync 4x/dag + auto-send,true (na 3h threshold),"behandeling-wenkbrauwen; active-journey -> email-aftercare-sent"
Salonized (iCal),wenkbrauwen,Behandelingsreeks,weekFollowup,weekFollowup-wenkbrauwen,weekfollowup-wenkbrauwen.html,7,na dag 7,false (nu handmatig/planning),"email-week-sent"
Salonized (iCal),wenkbrauwen,Behandelingsreeks,refresh6Months,refresh6Months-wenkbrauwen,refresh6months-wenkbrauwen.html,180,na ~6 maanden,false (nu handmatig/planning),"email-refresh6m-sent"
Salonized (iCal),wenkbrauwen,Behandelingsreeks,refresh10Months,refresh10Months-wenkbrauwen,refresh10months-wenkbrauwen.html,300,na ~10 maanden,false (nu handmatig/planning),"email-refresh10m-sent"
Salonized (iCal),wenkbrauwen,Behandelingsreeks,refresh18Months,–,–,547,no-response ~18 maanden (copy niet aangeleverd),false,"email-refresh18m-sent"
Salonized (iCal),eyeliner,Behandelingsreeks,aftercare,aftercare-eyeliner,aftercare-eyeliner.html,0,Cron sync 4x/dag + auto-send,true (na 3h threshold),"behandeling-eyeliner; active-journey -> email-aftercare-sent"
Salonized (iCal),eyeliner,Behandelingsreeks,weekFollowup,weekFollowup-eyeliner,weekfollowup-eyeliner.html,7,na dag 7,false (nu handmatig/planning),"email-week-sent"
Salonized (iCal),eyeliner,Behandelingsreeks,refresh6Months,refresh6Months-eyeliner,refresh6months-eyeliner.html,180,na ~6 maanden,false (nu handmatig/planning),"email-refresh6m-sent"
Salonized (iCal),eyeliner,Behandelingsreeks,refresh24Months,refresh24Months-eyeliner,refresh30months-eyeliner.html,730,na ~2 jaar,false (nu handmatig/planning),"email-refresh24m-sent"
Salonized (iCal),eyeliner,Behandelingsreeks,refresh36Months,–,–,1095,no-response ~3 jaar (copy niet aangeleverd),false,"email-refresh36m-sent"
Salonized (iCal),lippen,Behandelingsreeks,aftercare,aftercare-lippen,aftercare-lippen.html,0,Cron sync 4x/dag + auto-send,true (na 3h threshold),"behandeling-lippen; active-journey -> email-aftercare-sent"
Salonized (iCal),lippen,Behandelingsreeks,weekFollowup,weekFollowup-lippen,weekfollowup-lippen.html,7,na dag 7,false (nu handmatig/planning),"email-week-sent"
Salonized (iCal),lippen,Behandelingsreeks,refresh6Months,refresh6Months-lippen,refresh6months-lippen.html,180,na ~6 maanden,false (nu handmatig/planning),"email-refresh6m-sent"
Salonized (iCal),lippen,Behandelingsreeks,refresh10Months,refresh10Months-lippen,refresh10months-lippen.html,300,na ~10 maanden (korting),false (nu handmatig/planning),"email-refresh10m-sent"
Salonized (iCal),lippen,Behandelingsreeks,refresh18Months,refresh18Months-lippen,refresh18months-lippen.html,547,"na ~1,5 jaar",false (nu handmatig/planning),"email-refresh18m-sent"
Salonized (iCal),lippen,Behandelingsreeks,refresh24Months,–,–,730,no-response ~2 jaar (copy niet aangeleverd),false,"email-refresh24m-sent"
WooCommerce (shop),magicPencil,Bevestiging,confirmation,confirmation-magicPencil,confirmation-magicpencil.html,0,bestelling,true (aankoopdata gekoppeld; auto-verzending nog activeren),"confirmation mail (product)"
