Behandeling,Email,Wanneer,Onderwerp,Status,Opmerking,Wordt WEL verstuurd als,Wordt NIET verstuurd als
Wenkbrauwen,Nazorg,Dag van behandeling,Je behandeling zit erop – zo zorg je goed voor je huid,Automatisch,3 uur na de afspraak,Klant staat in Mailchimp + afspraak staat in Salonized agenda,Perfectiebehandeling / servicebehandeling / extra nabehandeling
Wenkbrauwen,Week follow-up,1 week na behandeling,Je wenkbrauwen verdienen wat extra liefde deze week,Automatisch,Herinneringstips genezing,Nazorg-email is eerder verstuurd,Nazorg-email is nog niet verstuurd of meer dan 30 dagen te laat
Wenkbrauwen,6 maanden – cross-sell,~6 maanden na behandeling,Zo blijft je PMU mooi – nu en straks,Automatisch,Eyeliner/lippen inspiratie + 10% combikorting,Alle eerdere emails zijn verstuurd,Klant heeft al een opfris ingepland of vorige email ontbreekt
Wenkbrauwen,10 maanden – opfris,~10 maanden na behandeling,Tijd om je PMU weer op te frissen,Automatisch,Herinnering opfrisbehandeling,Alle eerdere emails zijn verstuurd,Klant heeft al een opfris gehad (dan start de flow opnieuw)
Wenkbrauwen,18 maanden – herinnering,~18 maanden na behandeling,–,Wacht op tekst,Alleen als klant niet heeft gereageerd,Copywriter levert tekst aan,Tekst is nog niet aangeleverd – email wordt pas actief na aanlevering
Eyeliner,Nazorg,Dag van behandeling,Je behandeling zit erop – zo zorg je goed voor je huid,Automatisch,3 uur na de afspraak,Klant staat in Mailchimp + afspraak staat in Salonized agenda,Perfectiebehandeling / servicebehandeling / extra nabehandeling
Eyeliner,Week follow-up,1 week na behandeling,Je ogen verdienen wat extra liefde deze week,Automatisch,Herinneringstips genezing,Nazorg-email is eerder verstuurd,Nazorg-email is nog niet verstuurd of meer dan 30 dagen te laat
Eyeliner,6 maanden – cross-sell,~6 maanden na behandeling,Hoe gaat het met je permanente eyeliner?,Automatisch,Wenkbrauwen/lippen inspiratie,Alle eerdere emails zijn verstuurd,Klant heeft al een nieuwe behandeling ingepland of vorige email ontbreekt
Eyeliner,2 jaar – opfris,~2 jaar na behandeling,Tijd voor een opfris van je PMU eyeliner?,Automatisch,Herinnering opfrisbehandeling,Alle eerdere emails zijn verstuurd,Klant heeft al een opfris gehad (dan start de flow opnieuw)
Eyeliner,3 jaar – herinnering,~3 jaar na behandeling,–,Wacht op tekst,Alleen als klant niet heeft gereageerd,Copywriter levert tekst aan,Tekst is nog niet aangeleverd – email wordt pas actief na aanlevering
Lippen,Nazorg,Dag van behandeling,Je behandeling zit erop – zo zorg je goed voor je huid,Automatisch,3 uur na de afspraak,Klant staat in Mailchimp + afspraak staat in Salonized agenda,Perfectiebehandeling / servicebehandeling / extra nabehandeling
Lippen,Week follow-up,1 week na behandeling,Je lippen verdienen wat extra liefde deze week,Automatisch,Herinneringstips genezing,Nazorg-email is eerder verstuurd,Nazorg-email is nog niet verstuurd of meer dan 30 dagen te laat
Lippen,6 maanden – cross-sell,~6 maanden na behandeling,Hoe gaat het met je permanente lippen?,Automatisch,Wenkbrauwen/eyeliner inspiratie,Alle eerdere emails zijn verstuurd,Klant heeft al een nieuwe behandeling ingepland of vorige email ontbreekt
Lippen,10 maanden – opfris + korting,~10 maanden na behandeling,Dit is hét moment voor je lip-opfris (met korting),Automatisch,Prijsvergelijking binnen/na 1 jaar,Alle eerdere emails zijn verstuurd,Klant heeft al een opfris gehad (dan start de flow opnieuw)
Lippen,18 maanden – opfris,~18 maanden na behandeling,Is het tijd voor een opfris van je lippen?,Automatisch,Herinnering opfrisbehandeling,Alle eerdere emails zijn verstuurd,Klant heeft al een opfris gehad (dan start de flow opnieuw)
Lippen,2 jaar – herinnering,~2 jaar na behandeling,–,Wacht op tekst,Alleen als klant niet heeft gereageerd,Copywriter levert tekst aan,Tekst is nog niet aangeleverd – email wordt pas actief na aanlevering
Magic Pencil,Bevestiging bestelling,Na bestelling in webshop,Je Magic Pencil bestelling – onze ultieme favoriet!,Instellen in Mailchimp,Customer Journey in Mailchimp aanmaken,Klant koopt Magic 3D eyebrow pencil in de webshop,Klant koopt een ander product
